image size: (210, 160, 3)
action size: 9
/usr/local/lib/python3.5/dist-packages/skimage/transform/_warps.py:105: UserWarning: The default mode, 'constant', will be changed to 'reflect' in skimage 0.15.
  warn("The default mode, 'constant', will be changed to 'reflect' in "
/usr/local/lib/python3.5/dist-packages/skimage/transform/_warps.py:110: UserWarning: Anti-aliasing will be enabled by default in skimage 0.15 to avoid aliasing artifacts when down-sampling images.
  warn("Anti-aliasing will be enabled by default in skimage 0.15 to "
158 episode | score: 0.00 | steps: 705579 | loss: -56.9389
159 episode | score: 0.00 | steps: 710034 | loss: -112.2449
160 episode | score: 0.00 | steps: 714480 | loss: -149.6971
161 episode | score: 0.00 | steps: 718912 | loss: -79.0325
162 episode | score: 0.00 | steps: 723367 | loss: -126.9076
163 episode | score: 0.00 | steps: 727815 | loss: -141.0389
164 episode | score: 0.00 | steps: 732241 | loss: -71.0137
165 episode | score: 0.00 | steps: 736727 | loss: -65.3210
166 episode | score: 0.00 | steps: 741148 | loss: -68.2427
167 episode | score: 0.00 | steps: 745577 | loss: -75.8542
168 episode | score: 0.00 | steps: 750002 | loss: -66.6542
169 episode | score: 0.00 | steps: 754445 | loss: -34.4669
170 episode | score: 0.00 | steps: 758887 | loss: -38.1686
171 episode | score: 0.00 | steps: 763333 | loss: -30.8936
172 episode | score: 0.00 | steps: 767760 | loss: -28.7748
173 episode | score: 0.00 | steps: 772203 | loss: -42.4379
174 episode | score: 0.00 | steps: 776638 | loss: -58.7662
175 episode | score: 0.00 | steps: 781110 | loss: -35.6771
176 episode | score: 0.00 | steps: 785568 | loss: -40.6747
177 episode | score: 0.00 | steps: 790031 | loss: -24.4269
178 episode | score: 0.00 | steps: 794443 | loss: -39.3301
179 episode | score: 0.00 | steps: 798864 | loss: -55.9035
180 episode | score: 0.00 | steps: 803328 | loss: -52.9656
181 episode | score: 0.00 | steps: 807772 | loss: -82.1601
182 episode | score: 0.00 | steps: 812237 | loss: -43.8298
183 episode | score: 0.00 | steps: 816701 | loss: -37.6790
184 episode | score: 0.00 | steps: 821135 | loss: -43.6466
185 episode | score: 0.00 | steps: 825570 | loss: -32.3199
186 episode | score: 0.00 | steps: 829992 | loss: -52.2038
187 episode | score: 0.00 | steps: 834439 | loss: -100.5171
188 episode | score: 0.00 | steps: 838857 | loss: -93.4060
189 episode | score: 0.00 | steps: 843317 | loss: -147.1621
190 episode | score: 0.00 | steps: 847754 | loss: -89.9579
191 episode | score: 0.00 | steps: 852174 | loss: -81.3202
192 episode | score: 0.00 | steps: 856618 | loss: -97.5350
193 episode | score: 0.00 | steps: 861055 | loss: -113.6974
194 episode | score: 0.00 | steps: 865520 | loss: -94.8069
195 episode | score: 0.00 | steps: 869941 | loss: -73.3089
196 episode | score: 0.00 | steps: 874390 | loss: -51.1678
197 episode | score: 0.00 | steps: 878811 | loss: -54.9696
198 episode | score: 0.00 | steps: 883251 | loss: -52.6324
199 episode | score: 0.00 | steps: 887688 | loss: -65.6786
200 episode | score: 0.00 | steps: 892154 | loss: -36.0082
201 episode | score: 0.00 | steps: 896559 | loss: -48.9114
202 episode | score: 0.00 | steps: 900985 | loss: -98.8385
203 episode | score: 0.00 | steps: 905418 | loss: -139.5530
204 episode | score: 0.00 | steps: 909867 | loss: -152.6782
