image size: (210, 160, 3)
action size: 3
/home/matthew_daangn_com/anaconda3/lib/python3.6/site-packages/skimage/transform/_warps.py:84: UserWarning: The default mode, 'constant', will be changed to 'reflect' in skimage 0.15.
  warn("The default mode, 'constant', will be changed to 'reflect' in "
global steps 96000 | score: 10.0 | entropy: 0.3391 | grad norm: 0.645 
global steps 96000 | score: 10.0 | entropy: 0.3412 | grad norm: 0.645 
global steps 96000 | score: 13.0 | entropy: 0.3405 | grad norm: 0.645 
global steps 96000 | score: 9.0 | entropy: 0.3392 | grad norm: 0.645 
global steps 96000 | score: 12.0 | entropy: 0.3406 | grad norm: 0.645 
global steps 100800 | score: 10.0 | entropy: 0.3356 | grad norm: 0.899 
global steps 100800 | score: 7.0 | entropy: 0.3359 | grad norm: 0.899 
global steps 100800 | score: 5.0 | entropy: 0.3357 | grad norm: 0.899 
global steps 100800 | score: 6.0 | entropy: 0.3367 | grad norm: 0.899 
global steps 100800 | score: 6.0 | entropy: 0.3362 | grad norm: 0.899 
global steps 100800 | score: 8.0 | entropy: 0.3422 | grad norm: 0.899 
global steps 100800 | score: 7.0 | entropy: 0.3385 | grad norm: 0.899 
global steps 105600 | score: 8.0 | entropy: 0.3340 | grad norm: 0.829 
global steps 105600 | score: 7.0 | entropy: 0.3336 | grad norm: 0.829 
global steps 105600 | score: 8.0 | entropy: 0.3337 | grad norm: 0.829 
global steps 105600 | score: 14.0 | entropy: 0.3337 | grad norm: 0.829 
global steps 110400 | score: 13.0 | entropy: 0.3331 | grad norm: 1.353 
global steps 110400 | score: 14.0 | entropy: 0.3358 | grad norm: 1.353 
global steps 110400 | score: 15.0 | entropy: 0.3347 | grad norm: 1.353 
global steps 110400 | score: 14.0 | entropy: 0.3329 | grad norm: 1.353 
global steps 110400 | score: 13.0 | entropy: 0.3329 | grad norm: 1.353 
global steps 110400 | score: 10.0 | entropy: 0.3328 | grad norm: 1.353 
global steps 110400 | score: 16.0 | entropy: 0.3341 | grad norm: 1.353 
global steps 110400 | score: 17.0 | entropy: 0.3331 | grad norm: 1.353 
global steps 115200 | score: 11.0 | entropy: 0.3341 | grad norm: 2.022 
global steps 115200 | score: 16.0 | entropy: 0.3354 | grad norm: 2.022 
global steps 115200 | score: 14.0 | entropy: 0.3326 | grad norm: 2.022 
global steps 115200 | score: 7.0 | entropy: 0.3326 | grad norm: 2.022 
global steps 115200 | score: 8.0 | entropy: 0.3352 | grad norm: 2.022 
global steps 120000 | score: 11.0 | entropy: 0.3330 | grad norm: 3.811 
global steps 120000 | score: 9.0 | entropy: 0.3333 | grad norm: 3.811 
global steps 120000 | score: 12.0 | entropy: 0.3333 | grad norm: 3.811 
global steps 120000 | score: 10.0 | entropy: 0.3329 | grad norm: 3.811 
global steps 120000 | score: 12.0 | entropy: 0.3356 | grad norm: 3.811 
global steps 120000 | score: 8.0 | entropy: 0.3400 | grad norm: 3.811 
global steps 120000 | score: 10.0 | entropy: 0.3359 | grad norm: 3.811 
global steps 120000 | score: 10.0 | entropy: 0.3358 | grad norm: 3.811 
global steps 120000 | score: 13.0 | entropy: 0.3331 | grad norm: 3.811 
global steps 124800 | score: 9.0 | entropy: 0.3329 | grad norm: 6.442 
global steps 124800 | score: 7.0 | entropy: 0.3345 | grad norm: 6.442 
global steps 124800 | score: 9.0 | entropy: 0.3331 | grad norm: 6.442 
global steps 124800 | score: 7.0 | entropy: 0.3331 | grad norm: 6.442 
global steps 129600 | score: 9.0 | entropy: 0.3337 | grad norm: 5.727 
global steps 129600 | score: 8.0 | entropy: 0.3356 | grad norm: 5.727 
global steps 129600 | score: 8.0 | entropy: 0.3332 | grad norm: 5.727 
global steps 129600 | score: 9.0 | entropy: 0.3351 | grad norm: 5.727 
global steps 129600 | score: 9.0 | entropy: 0.3343 | grad norm: 5.727 
global steps 129600 | score: 9.0 | entropy: 0.3334 | grad norm: 5.727 
global steps 129600 | score: 10.0 | entropy: 0.3339 | grad norm: 5.727 
global steps 129600 | score: 16.0 | entropy: 0.3340 | grad norm: 5.727 
global steps 134400 | score: 15.0 | entropy: 0.3382 | grad norm: 5.098 
global steps 134400 | score: 15.0 | entropy: 0.3359 | grad norm: 5.098 
global steps 134400 | score: 12.0 | entropy: 0.3381 | grad norm: 5.098 
global steps 134400 | score: 18.0 | entropy: 0.3363 | grad norm: 5.098 
global steps 134400 | score: 11.0 | entropy: 0.3360 | grad norm: 5.098 
global steps 139200 | score: 14.0 | entropy: 0.3341 | grad norm: 4.210 
global steps 139200 | score: 11.0 | entropy: 0.3340 | grad norm: 4.210 
global steps 139200 | score: 11.0 | entropy: 0.3388 | grad norm: 4.210 
global steps 139200 | score: 10.0 | entropy: 0.3339 | grad norm: 4.210 
global steps 139200 | score: 7.0 | entropy: 0.3340 | grad norm: 4.210 
global steps 139200 | score: 15.0 | entropy: 0.3336 | grad norm: 4.210 
global steps 139200 | score: 8.0 | entropy: 0.3353 | grad norm: 4.210 
global steps 144000 | score: 18.0 | entropy: 0.3346 | grad norm: 3.868 
global steps 144000 | score: 7.0 | entropy: 0.3362 | grad norm: 3.868 
global steps 144000 | score: 9.0 | entropy: 0.3350 | grad norm: 3.868 
global steps 144000 | score: 10.0 | entropy: 0.3368 | grad norm: 3.868 
global steps 144000 | score: 8.0 | entropy: 0.3400 | grad norm: 3.868 
global steps 144000 | score: 11.0 | entropy: 0.3372 | grad norm: 3.868 
global steps 148800 | score: 8.0 | entropy: 0.3364 | grad norm: 3.602 
global steps 148800 | score: 10.0 | entropy: 0.3416 | grad norm: 3.602 
global steps 148800 | score: 13.0 | entropy: 0.3338 | grad norm: 3.602 
global steps 148800 | score: 10.0 | entropy: 0.3337 | grad norm: 3.602 
global steps 148800 | score: 15.0 | entropy: 0.3344 | grad norm: 3.602 
global steps 148800 | score: 12.0 | entropy: 0.3338 | grad norm: 3.602 
global steps 153600 | score: 11.0 | entropy: 0.3339 | grad norm: 2.881 
global steps 153600 | score: 15.0 | entropy: 0.3336 | grad norm: 2.881 
global steps 153600 | score: 13.0 | entropy: 0.3379 | grad norm: 2.881 
global steps 153600 | score: 10.0 | entropy: 0.3363 | grad norm: 2.881 
global steps 153600 | score: 11.0 | entropy: 0.3337 | grad norm: 2.881 
global steps 158400 | score: 11.0 | entropy: 0.3337 | grad norm: 2.651 
global steps 158400 | score: 10.0 | entropy: 0.3350 | grad norm: 2.651 
global steps 158400 | score: 13.0 | entropy: 0.3351 | grad norm: 2.651 
global steps 158400 | score: 10.0 | entropy: 0.3351 | grad norm: 2.651 
global steps 158400 | score: 15.0 | entropy: 0.3350 | grad norm: 2.651 
global steps 158400 | score: 9.0 | entropy: 0.3376 | grad norm: 2.651 
global steps 158400 | score: 17.0 | entropy: 0.3379 | grad norm: 2.651 
global steps 158400 | score: 9.0 | entropy: 0.3355 | grad norm: 2.651 
global steps 158400 | score: 9.0 | entropy: 0.3346 | grad norm: 2.651 
global steps 163200 | score: 10.0 | entropy: 0.3344 | grad norm: 2.265 
global steps 163200 | score: 13.0 | entropy: 0.3346 | grad norm: 2.265 
global steps 163200 | score: 14.0 | entropy: 0.3357 | grad norm: 2.265 
global steps 163200 | score: 10.0 | entropy: 0.3362 | grad norm: 2.265 
global steps 163200 | score: 10.0 | entropy: 0.3362 | grad norm: 2.265 
global steps 168000 | score: 10.0 | entropy: 0.3334 | grad norm: 2.018 
global steps 168000 | score: 11.0 | entropy: 0.3334 | grad norm: 2.018 
global steps 168000 | score: 11.0 | entropy: 0.3332 | grad norm: 2.018 
global steps 168000 | score: 15.0 | entropy: 0.3365 | grad norm: 2.018 
global steps 168000 | score: 13.0 | entropy: 0.3336 | grad norm: 2.018 
global steps 168000 | score: 14.0 | entropy: 0.3335 | grad norm: 2.018 
