image size: (210, 160, 3)
action size: 3
global steps 102400 | score: 9.0 | entropy: 0.3366 | grad norm: 0.580 
global steps 102400 | score: 9.0 | entropy: 0.3392 | grad norm: 0.580 
global steps 102400 | score: 9.0 | entropy: 0.3373 | grad norm: 0.580 
global steps 102400 | score: 7.0 | entropy: 0.3380 | grad norm: 0.580 
global steps 102400 | score: 9.0 | entropy: 0.3373 | grad norm: 0.580 
global steps 102400 | score: 9.0 | entropy: 0.3387 | grad norm: 0.580 
global steps 102400 | score: 12.0 | entropy: 0.3393 | grad norm: 0.580 
global steps 102400 | score: 9.0 | entropy: 0.3385 | grad norm: 0.580 
global steps 108800 | score: 8.0 | entropy: 0.3305 | grad norm: 0.897 
global steps 108800 | score: 8.0 | entropy: 0.3305 | grad norm: 0.897 
global steps 108800 | score: 10.0 | entropy: 0.3303 | grad norm: 0.897 
global steps 108800 | score: 14.0 | entropy: 0.3325 | grad norm: 0.897 
global steps 108800 | score: 13.0 | entropy: 0.3325 | grad norm: 0.897 
global steps 108800 | score: 13.0 | entropy: 0.3311 | grad norm: 0.897 
global steps 108800 | score: 8.0 | entropy: 0.3319 | grad norm: 0.897 
global steps 108800 | score: 9.0 | entropy: 0.3307 | grad norm: 0.897 
global steps 108800 | score: 9.0 | entropy: 0.3324 | grad norm: 0.897 
global steps 108800 | score: 9.0 | entropy: 0.3330 | grad norm: 0.897 
global steps 115200 | score: 9.0 | entropy: 0.3299 | grad norm: 1.048 
global steps 115200 | score: 9.0 | entropy: 0.3306 | grad norm: 1.048 
global steps 115200 | score: 9.0 | entropy: 0.3316 | grad norm: 1.048 
global steps 115200 | score: 10.0 | entropy: 0.3300 | grad norm: 1.048 
global steps 115200 | score: 9.0 | entropy: 0.3322 | grad norm: 1.048 
global steps 115200 | score: 9.0 | entropy: 0.3332 | grad norm: 1.048 
global steps 115200 | score: 9.0 | entropy: 0.3339 | grad norm: 1.048 
global steps 115200 | score: 9.0 | entropy: 0.3297 | grad norm: 1.048 
global steps 115200 | score: 9.0 | entropy: 0.3327 | grad norm: 1.048 
global steps 115200 | score: 9.0 | entropy: 0.3316 | grad norm: 1.048 
global steps 121600 | score: 9.0 | entropy: 0.3261 | grad norm: 1.262 
global steps 121600 | score: 10.0 | entropy: 0.3262 | grad norm: 1.262 
global steps 121600 | score: 10.0 | entropy: 0.3258 | grad norm: 1.262 
global steps 121600 | score: 7.0 | entropy: 0.3280 | grad norm: 1.262 
global steps 121600 | score: 12.0 | entropy: 0.3284 | grad norm: 1.262 
global steps 121600 | score: 13.0 | entropy: 0.3261 | grad norm: 1.262 
global steps 128000 | score: 14.0 | entropy: 0.3234 | grad norm: 1.849 
global steps 128000 | score: 10.0 | entropy: 0.3236 | grad norm: 1.849 
global steps 128000 | score: 9.0 | entropy: 0.3281 | grad norm: 1.849 
global steps 128000 | score: 13.0 | entropy: 0.3238 | grad norm: 1.849 
global steps 128000 | score: 13.0 | entropy: 0.3233 | grad norm: 1.849 
global steps 128000 | score: 12.0 | entropy: 0.3260 | grad norm: 1.849 
global steps 128000 | score: 16.0 | entropy: 0.3250 | grad norm: 1.849 
global steps 128000 | score: 19.0 | entropy: 0.3274 | grad norm: 1.849 
global steps 128000 | score: 13.0 | entropy: 0.3253 | grad norm: 1.849 
global steps 134400 | score: 18.0 | entropy: 0.3255 | grad norm: 2.306 
global steps 134400 | score: 16.0 | entropy: 0.3263 | grad norm: 2.306 
global steps 134400 | score: 20.0 | entropy: 0.3260 | grad norm: 2.306 
global steps 134400 | score: 14.0 | entropy: 0.3256 | grad norm: 2.306 
global steps 134400 | score: 16.0 | entropy: 0.3256 | grad norm: 2.306 
global steps 134400 | score: 14.0 | entropy: 0.3278 | grad norm: 2.306 
global steps 134400 | score: 13.0 | entropy: 0.3257 | grad norm: 2.306 
global steps 134400 | score: 14.0 | entropy: 0.3307 | grad norm: 2.306 
global steps 134400 | score: 13.0 | entropy: 0.3259 | grad norm: 2.306 
global steps 140800 | score: 13.0 | entropy: 0.3254 | grad norm: 3.089 
global steps 140800 | score: 15.0 | entropy: 0.3211 | grad norm: 3.089 
global steps 140800 | score: 8.0 | entropy: 0.3238 | grad norm: 3.089 
global steps 140800 | score: 7.0 | entropy: 0.3212 | grad norm: 3.089 
global steps 140800 | score: 13.0 | entropy: 0.3225 | grad norm: 3.089 
global steps 140800 | score: 13.0 | entropy: 0.3226 | grad norm: 3.089 
global steps 140800 | score: 8.0 | entropy: 0.3212 | grad norm: 3.089 
global steps 147200 | score: 9.0 | entropy: 0.3221 | grad norm: 3.638 
global steps 147200 | score: 10.0 | entropy: 0.3226 | grad norm: 3.638 
global steps 147200 | score: 10.0 | entropy: 0.3230 | grad norm: 3.638 
global steps 147200 | score: 9.0 | entropy: 0.3250 | grad norm: 3.638 
global steps 147200 | score: 9.0 | entropy: 0.3224 | grad norm: 3.638 
global steps 147200 | score: 11.0 | entropy: 0.3245 | grad norm: 3.638 
global steps 147200 | score: 12.0 | entropy: 0.3225 | grad norm: 3.638 
global steps 147200 | score: 15.0 | entropy: 0.3297 | grad norm: 3.638 
global steps 153600 | score: 14.0 | entropy: 0.3180 | grad norm: 4.435 
global steps 153600 | score: 14.0 | entropy: 0.3179 | grad norm: 4.435 
global steps 153600 | score: 14.0 | entropy: 0.3207 | grad norm: 4.435 
global steps 153600 | score: 14.0 | entropy: 0.3178 | grad norm: 4.435 
global steps 153600 | score: 18.0 | entropy: 0.3203 | grad norm: 4.435 
global steps 153600 | score: 18.0 | entropy: 0.3176 | grad norm: 4.435 
global steps 153600 | score: 15.0 | entropy: 0.3269 | grad norm: 4.435 
global steps 153600 | score: 13.0 | entropy: 0.3201 | grad norm: 4.435 
global steps 160000 | score: 18.0 | entropy: 0.3227 | grad norm: 4.016 
global steps 160000 | score: 13.0 | entropy: 0.3270 | grad norm: 4.016 
global steps 160000 | score: 14.0 | entropy: 0.3257 | grad norm: 4.016 
global steps 160000 | score: 20.0 | entropy: 0.3244 | grad norm: 4.016 
global steps 160000 | score: 13.0 | entropy: 0.3290 | grad norm: 4.016 
global steps 160000 | score: 12.0 | entropy: 0.3274 | grad norm: 4.016 
global steps 160000 | score: 15.0 | entropy: 0.3243 | grad norm: 4.016 
global steps 166400 | score: 15.0 | entropy: 0.3216 | grad norm: 3.268 
global steps 166400 | score: 7.0 | entropy: 0.3215 | grad norm: 3.268 
global steps 166400 | score: 8.0 | entropy: 0.3185 | grad norm: 3.268 
global steps 166400 | score: 12.0 | entropy: 0.3272 | grad norm: 3.268 
global steps 166400 | score: 14.0 | entropy: 0.3226 | grad norm: 3.268 
global steps 166400 | score: 7.0 | entropy: 0.3261 | grad norm: 3.268 
global steps 166400 | score: 12.0 | entropy: 0.3188 | grad norm: 3.268 
global steps 166400 | score: 16.0 | entropy: 0.3241 | grad norm: 3.268 
global steps 166400 | score: 9.0 | entropy: 0.3241 | grad norm: 3.268 
global steps 172800 | score: 11.0 | entropy: 0.3192 | grad norm: 2.364 
global steps 172800 | score: 11.0 | entropy: 0.3221 | grad norm: 2.364 
global steps 172800 | score: 9.0 | entropy: 0.3204 | grad norm: 2.364 
global steps 172800 | score: 18.0 | entropy: 0.3305 | grad norm: 2.364 
global steps 172800 | score: 12.0 | entropy: 0.3232 | grad norm: 2.364 
global steps 172800 | score: 10.0 | entropy: 0.3215 | grad norm: 2.364 
global steps 172800 | score: 11.0 | entropy: 0.3258 | grad norm: 2.364 
global steps 179200 | score: 11.0 | entropy: 0.3212 | grad norm: 2.181 
global steps 179200 | score: 11.0 | entropy: 0.3229 | grad norm: 2.181 
global steps 179200 | score: 11.0 | entropy: 0.3226 | grad norm: 2.181 
global steps 179200 | score: 12.0 | entropy: 0.3245 | grad norm: 2.181 
global steps 179200 | score: 10.0 | entropy: 0.3262 | grad norm: 2.181 
global steps 179200 | score: 9.0 | entropy: 0.3218 | grad norm: 2.181 
global steps 179200 | score: 10.0 | entropy: 0.3207 | grad norm: 2.181 
global steps 179200 | score: 10.0 | entropy: 0.3207 | grad norm: 2.181 
global steps 179200 | score: 9.0 | entropy: 0.3207 | grad norm: 2.181 
global steps 179200 | score: 10.0 | entropy: 0.3230 | grad norm: 2.181 
global steps 179200 | score: 16.0 | entropy: 0.3208 | grad norm: 2.181 
global steps 179200 | score: 12.0 | entropy: 0.3208 | grad norm: 2.181 
global steps 179200 | score: 11.0 | entropy: 0.3257 | grad norm: 2.181 
